feature,mean_abs_shap
emb_116,0.00449827171142707
usdt_std_amount,0.004352123498464189
emb_154,0.004239085895885273
n2v_pca_14,0.004112875015799457
emb_118,0.004111542062083315
nb_n2v_0,0.004052053839964206
emb_205,0.003986650258345671
emb_226,0.003892465857115405
emb_138,0.0038494968383150667
emb_222,0.0036762267569766484
emb_172,0.0035628772342553116
nb_n2v_8,0.003532062958255694
emb_124,0.003526410246133259
emb_146,0.0034583235911189152
emb_233,0.003456914165818522
nb_n2v_9,0.0033175930380653124
emb_177,0.003309387920499935
emb_104,0.003268831997142419
emb_119,0.003258959599421968
nb_n2v_1,0.003219983852754992
emb_107,0.0031845282626093785
emb_95,0.0030238431825709024
nb_n2v_10,0.002795499435289824
emb_190,0.0027909007956976204
emb_238,0.002561963834439275
emb_66,0.0025564596465216228
emb_186,0.002550947430868849
usdt_trade_count,0.002512547583862385
emb_112,0.00248604634942634
emb_86,0.002475800500260315
emb_185,0.0024556192480927282
emb_157,0.0023329414130807465
emb_6,0.0022568620549315074
emb_225,0.0022345054748329
emb_213,0.0021926355753292843
emb_85,0.0021778218687699413
emb_120,0.0021570308435025554
emb_179,0.002130975987432585
emb_254,0.002120846433222547
emb_189,0.0021052389573006005
emb_163,0.0020956423160797596
emb_182,0.002062373794786159
usdt_source_avg,0.0020571601562493773
emb_247,0.0020154337826118083
emb_142,0.0019614087210770644
emb_230,0.0019482670501511617
emb_123,0.0018630385733880543
emb_141,0.0018239358288774689
emb_203,0.001753134201073017
emb_200,0.0017177212282168763
emb_202,0.0016655094192515024
emb_77,0.0016502764600061805
emb_166,0.0015942095284375859
usdt_buy_ratio,0.001534245947991458
emb_128,0.0015274330325815823
emb_196,0.0015090045772073305
usdt_total_amount,0.0015041845174185485
emb_252,0.0015018242871783045
emb_219,0.0015006993083044567
emb_147,0.001468131217837034
emb_236,0.0014586996708312293
emb_173,0.0014440930335415895
emb_165,0.0013513246742667114
emb_246,0.0013479650447315657
emb_231,0.0011933723922935326
emb_125,0.0011888726200589422
emb_181,0.0011641651633154538
emb_244,0.0010764423133474452
emb_161,0.0010757419941041868
emb_67,0.0009394260469397559
emb_69,0.0009251964790980072
emb_183,0.0009154547935071636
internal_tx_ratio,0.000894956789649245
emb_143,0.000841850449300264
emb_96,0.0008335644010071325
emb_174,0.0008208998759553132
emb_92,0.0008124301910985921
emb_240,0.0008106429082567338
emb_167,0.0007869622093747172
emb_135,0.0007536306553930894
emb_251,0.000712553738113349
emb_211,0.0006704872620195471
emb_132,0.000669400933316936
emb_243,0.0006097855682370325
emb_71,0.0005420164794463838
emb_193,0.0005011972734573411
emb_137,0.0004505005093120838
emb_94,0.00041507726136780004
emb_153,8.320260791756762e-06
is_pure_buyer,0.0
is_isolated,0.0
emb_184,0.0
is_night_owl,0.0
night_bin_high,0.0
is_high_buy_ratio,0.0
emb_102,0.0
emb_72,0.0
user_source,0.0
emb_80,0.0
swap_kind_count,0.0
crypto_currency_count,0.0
crypto_relation_user_count,0.0
dormant_bin,0.0
