uturn_ratio,pulse_count,user_id,label
0.3333333333333333,0,921036,0
0.5,0,527823,0
0.08333333333333333,0,921044,0
0.5454545454545454,0,134613,0
0.09090909090909091,0,527829,0
0.2,0,3548,0
0.3333333333333333,1,789981,0
0.16666666666666666,0,789983,0
0.25,0,921059,0
0.3333333333333333,0,921061,0
0.5,0,658936,0
0.1,0,921095,0
0.3333333333333333,0,3591,0
0.09090909090909091,0,3595,0
0.3333333333333333,0,134680,0
0.375,0,3628,0
0.5555555555555556,6,921137,0
0.25,0,396853,1
0.15384615384615385,0,3640,0
0.2,0,134726,0
0.3235294117647059,3,921165,0
0.3333333333333333,0,921173,0
0.3333333333333333,2,659032,0
0.5,0,527972,0
0.875,0,3695,0
0.3333333333333333,0,921202,0
0.20833333333333334,0,134777,0
0.0625,0,396926,0
0.05555555555555555,1,921231,0
0.08333333333333333,1,921260,0
0.2222222222222222,0,265910,0
0.23076923076923078,1,921275,1
0.2,0,3786,0
0.11538461538461539,0,265932,1
0.08888888888888889,0,921299,0
0.4583333333333333,1,3798,0
0.6666666666666666,0,134874,0
0.14285714285714285,0,134880,0
0.2727272727272727,0,3818,0
0.3333333333333333,0,134897,0
0.3333333333333333,0,134923,0
0.3333333333333333,0,134942,0
0.05555555555555555,0,134951,0
0.375,0,921395,0
0.45454545454545453,0,659255,0
0.7368421052631579,0,3905,0
0.2631578947368421,0,528203,0
0.3333333333333333,0,528210,0
0.3333333333333333,0,921427,0
0.14285714285714285,0,397140,0
0.125,0,921429,0
0.1111111111111111,0,790386,0
0.14285714285714285,0,659314,0
0.2,0,528245,0
0.3333333333333333,0,659322,0
0.25,0,3975,0
0.25,0,921490,0
0.2727272727272727,3,659347,1
0.045454545454545456,0,659349,0
0.1,0,135080,0
0.16666666666666666,0,4017,0
0.04,0,4025,0
0.5714285714285714,1,921531,0
0.3333333333333333,0,659394,0
0.42857142857142855,0,528334,0
0.2,2,135127,0
0.3333333333333333,0,659415,0
0.3333333333333333,0,921562,0
0.25,0,528359,0
0.2222222222222222,0,4076,0
0.5,0,921585,0
0.5,0,135156,0
0.4,0,790518,0
0.15789473684210525,0,921596,0
0.19047619047619047,0,790539,0
0.3333333333333333,0,659471,0
0.5,0,528399,0
0.6,0,659475,0
0.01694915254237288,0,397333,0
0.1111111111111111,0,659479,0
0.16,0,659500,0
0.2857142857142857,1,921648,0
0.2,2,921657,0
0.2857142857142857,1,790598,0
0.3333333333333333,0,921688,0
0.23529411764705882,0,921692,0
0.4,1,659553,0
0.4444444444444444,0,4196,0
0.08333333333333333,0,659560,0
0.375,2,921708,0
0.47619047619047616,0,397424,0
0.5,0,135284,0
0.5,0,921719,0
0.35714285714285715,2,528507,0
0.16666666666666666,0,4221,0
0.2,0,921726,0
0.3333333333333333,0,790669,0
0.25,0,528530,0
0.4117647058823529,0,921761,1
0.47368421052631576,0,4261,0
0.25,0,4257,0
0.4444444444444444,0,790715,0
0.3333333333333333,0,921799,0
0.09090909090909091,0,659664,0
0.25,0,4302,0
0.6666666666666666,2,921811,1
0.6666666666666666,0,4315,0
0.08695652173913043,0,528607,0
0.125,0,790751,0
0.375,0,528617,0
0.047619047619047616,0,790784,0
0.5,0,135429,0
0.2,0,4377,0
0.417910447761194,0,921885,0
0.16666666666666666,0,528681,0
0.2857142857142857,0,659762,0
0.3333333333333333,0,921932,0
0.25,0,266576,0
0.04285714285714286,0,4439,0
0.3333333333333333,0,659814,0
